date,open,close,high,low,volume,volume.1
2025-01-02,33.5,32.6,34.1,31.23,201678.0,201678.0
2025-01-03,32.75,28.8,33.0,28.6,195712.0,195712.0
2025-01-06,28.12,27.63,28.88,27.12,112433.0,112433.0
2025-01-07,27.98,30.02,30.14,27.76,171675.0,171675.0
2025-01-08,29.66,29.72,30.14,27.89,152420.0,152420.0
2025-01-09,29.67,29.88,30.35,29.12,125734.0,125734.0
2025-01-10,29.66,28.08,29.95,28.01,119210.0,119210.0
2025-01-13,27.0,27.33,27.92,26.22,95557.0,95557.0
2025-01-14,27.66,29.5,29.5,27.51,121213.0,121213.0
2025-01-15,29.5,28.79,29.72,28.6,87678.0,87678.0
2025-01-16,29.25,29.59,29.98,28.8,140157.0,140157.0
2025-01-17,29.22,29.19,29.85,28.9,94948.0,94948.0
2025-01-20,30.01,31.61,32.49,29.91,236018.0,236018.0
2025-01-21,31.7,33.14,33.5,30.79,237289.0,237289.0
2025-01-22,36.0,37.9,39.77,36.0,381731.0,381731.0
2025-01-23,38.65,34.66,39.5,34.65,314591.0,314591.0
2025-01-24,34.66,35.51,36.48,34.12,245180.0,245180.0
2025-01-27,34.03,32.52,34.91,32.44,170847.0,170847.0
2025-02-05,32.16,31.52,33.44,31.38,142229.0,142229.0
2025-02-06,31.99,32.93,33.0,31.7,148728.0,148728.0
2025-02-07,33.4,34.24,35.08,33.4,204986.0,204986.0
2025-02-10,33.88,34.18,34.5,33.6,140351.0,140351.0
2025-02-11,34.45,35.68,35.68,33.66,230988.0,230988.0
2025-02-12,35.01,35.4,35.4,34.5,164007.0,164007.0
2025-02-13,35.1,33.7,35.1,33.7,144079.0,144079.0
2025-02-14,33.7,33.48,34.25,33.18,96140.0,96140.0
2025-02-17,33.2,35.0,35.18,33.15,153995.0,153995.0
2025-02-18,34.61,33.67,35.18,33.55,114105.0,114105.0
2025-02-19,33.68,35.74,35.99,33.57,188965.0,188965.0
2025-02-20,36.16,36.09,37.17,35.6,232368.0,232368.0
2025-02-21,35.81,36.99,37.5,35.81,187017.0,187017.0
2025-02-24,36.59,36.37,36.59,35.35,122468.0,122468.0
2025-02-25,35.48,36.09,36.88,35.2,105247.0,105247.0
2025-02-26,36.77,36.28,37.35,35.08,176717.0,176717.0
2025-02-27,35.78,35.5,36.58,35.2,108638.0,108638.0
2025-02-28,35.28,32.29,35.35,31.95,125055.0,125055.0
2025-03-03,32.44,31.98,33.0,31.38,66668.0,66668.0
2025-03-04,31.34,32.5,32.59,31.2,50038.0,50038.0
2025-03-05,32.4,33.4,33.83,32.2,78742.0,78742.0
2025-03-06,33.5,33.86,34.47,33.37,73692.0,73692.0
2025-03-07,33.57,34.19,34.58,33.07,82022.0,82022.0
2025-03-10,33.9,34.09,34.38,33.55,55988.0,55988.0
2025-03-11,33.28,33.83,34.0,33.08,52085.0,52085.0
2025-03-12,34.09,34.66,34.97,33.89,75902.0,75902.0
2025-03-13,34.5,33.34,34.7,32.85,68158.0,68158.0
2025-03-14,33.15,34.16,34.47,32.63,63798.0,63798.0
2025-03-17,34.3,35.09,35.25,33.75,79773.0,79773.0
2025-03-18,35.11,35.5,35.66,34.8,82240.0,82240.0
2025-03-19,35.37,34.59,35.37,34.48,63400.0,63400.0
2025-03-20,34.47,35.19,35.86,34.04,105700.0,105700.0
2025-03-21,34.99,33.11,34.99,33.0,83185.0,83185.0
2025-03-24,32.9,32.45,33.31,31.24,55518.0,55518.0
2025-03-25,32.13,31.47,32.78,31.45,37274.0,37274.0
2025-03-26,31.38,31.4,31.9,31.27,33099.0,33099.0
2025-03-27,31.45,31.66,31.67,30.42,33860.0,33860.0
2025-03-28,31.56,30.58,31.81,30.5,34751.0,34751.0
2025-03-31,30.1,30.57,30.7,29.7,28401.0,28401.0
2025-04-01,30.76,30.37,31.07,30.36,22600.0,22600.0
2025-04-02,30.58,30.42,30.95,30.35,21847.0,21847.0
2025-04-03,29.98,29.47,30.49,29.22,30166.0,30166.0
2025-04-07,27.02,23.58,27.98,23.58,66346.0,66346.0
2025-04-08,24.0,24.1,24.79,22.97,54147.0,54147.0
2025-04-09,23.6,24.6,24.78,21.3,54097.0,54097.0
2025-04-10,25.7,25.59,26.56,25.5,55502.0,55502.0
2025-04-11,25.55,25.85,26.1,25.07,38423.0,38423.0
2025-04-14,26.9,26.21,27.2,26.1,46698.0,46698.0
2025-04-15,26.28,26.18,26.38,25.75,27089.0,27089.0
2025-04-16,26.28,25.63,26.28,24.98,24836.0,24836.0
2025-04-17,25.58,25.58,25.95,25.18,22332.0,22332.0
2025-04-18,25.5,25.83,25.95,25.26,26881.0,26881.0
2025-04-21,25.8,26.5,26.5,25.49,30623.0,30623.0
2025-04-22,26.29,26.36,26.75,26.26,24511.0,24511.0
2025-04-23,26.78,27.35,27.58,26.66,49475.0,49475.0
2025-04-24,27.35,26.8,27.56,26.66,31746.0,31746.0
2025-04-25,26.98,26.95,27.37,26.69,29898.0,29898.0
2025-04-28,27.21,27.14,27.62,27.05,35367.0,35367.0
2025-04-29,27.6,27.67,28.08,27.21,40211.0,40211.0
2025-04-30,27.61,28.09,28.28,27.53,38647.0,38647.0
2025-05-06,28.3,28.81,28.97,28.2,37387.0,37387.0
2025-05-07,29.29,28.59,29.39,28.16,43966.0,43966.0
2025-05-08,28.49,29.72,29.9,28.3,69624.0,69624.0
2025-05-09,29.2,28.68,29.25,28.41,44546.0,44546.0
2025-05-12,29.1,29.55,29.56,29.01,45325.0,45325.0
2025-05-13,30.03,29.08,30.1,29.01,42210.0,42210.0
2025-05-14,29.16,28.9,29.66,28.65,36706.0,36706.0
2025-05-15,28.76,28.33,28.83,28.26,27549.0,27549.0
2025-05-16,28.35,28.48,28.88,28.09,21907.0,21907.0
2025-05-19,28.48,28.53,28.73,27.95,24041.0,24041.0
2025-05-20,28.57,28.6,28.79,28.06,21410.0,21410.0
2025-05-21,28.59,28.07,28.59,27.76,24938.0,24938.0
2025-05-22,27.9,27.66,28.35,27.62,20963.0,20963.0
2025-05-23,27.77,27.09,28.0,27.02,26954.0,26954.0
2025-05-26,26.93,27.43,27.46,26.93,16409.0,16409.0
2025-05-27,27.29,26.96,27.44,26.76,18246.0,18246.0
2025-05-28,27.19,26.75,27.28,26.61,15364.0,15364.0
