date,open,close,high,low,volume,volume.1
2025-01-02,83.63,80.81,84.16,79.6,58086.0,58086.0
2025-01-03,81.06,79.8,83.12,79.49,52304.0,52304.0
2025-01-06,80.1,78.92,81.56,78.18,31848.0,31848.0
2025-01-07,79.49,80.26,80.8,78.15,36509.0,36509.0
2025-01-08,79.5,77.67,79.5,74.11,73559.0,73559.0
2025-01-09,77.55,77.01,78.76,77.01,40364.0,40364.0
2025-01-10,76.82,75.73,80.55,75.53,50860.0,50860.0
2025-01-13,75.0,78.23,78.39,74.5,46930.0,46930.0
2025-01-14,78.49,81.4,82.22,77.5,63121.0,63121.0
2025-01-15,81.0,79.29,81.25,79.1,43247.0,43247.0
2025-01-16,80.24,79.88,82.18,79.0,50669.0,50669.0
2025-01-17,79.2,80.04,82.08,78.22,53022.0,53022.0
2025-01-20,80.5,79.5,81.77,79.29,40746.0,40746.0
2025-01-21,80.35,78.79,80.68,77.71,42270.0,42270.0
2025-01-22,78.27,77.53,78.92,76.8,39029.0,39029.0
2025-01-23,78.48,75.92,79.9,75.92,58835.0,58835.0
2025-01-24,76.0,78.12,78.56,76.0,45632.0,45632.0
2025-01-27,78.95,74.85,79.2,74.85,41303.0,41303.0
2025-02-05,76.66,76.74,77.98,75.56,48378.0,48378.0
2025-02-06,75.99,83.05,83.72,75.68,102866.0,102866.0
2025-02-07,82.96,82.4,84.88,80.79,77546.0,77546.0
2025-02-10,82.48,88.5,89.45,81.3,124978.0,124978.0
2025-02-11,86.5,86.97,89.92,84.56,95562.0,95562.0
2025-02-12,86.11,89.11,89.56,86.08,88570.0,88570.0
2025-02-13,88.46,85.52,89.66,85.5,70586.0,70586.0
2025-02-14,84.5,83.59,85.88,82.57,70575.0,70575.0
2025-02-17,83.6,84.66,85.29,82.69,76825.0,76825.0
2025-02-18,86.1,91.49,95.48,86.09,202301.0,202301.0
2025-02-19,90.01,95.32,95.57,89.22,174100.0,174100.0
2025-02-20,95.1,93.2,97.8,92.0,120641.0,120641.0
2025-02-21,93.2,95.0,96.98,92.05,111535.0,111535.0
2025-02-24,95.0,96.05,99.88,93.6,91794.0,91794.0
2025-02-25,95.0,94.2,99.88,93.21,98522.0,98522.0
2025-02-26,93.51,95.39,95.5,91.36,86088.0,86088.0
2025-02-27,95.4,90.95,95.41,88.28,107484.0,107484.0
2025-02-28,91.0,86.47,91.68,86.1,74203.0,74203.0
2025-03-03,86.51,86.8,88.3,84.6,62094.0,62094.0
2025-03-04,85.6,91.43,95.0,85.1,126757.0,126757.0
2025-03-05,89.3,88.48,90.35,87.56,75628.0,75628.0
2025-03-11,94.82,97.5,102.82,94.0,178434.0,178434.0
2025-03-12,96.36,92.84,97.38,92.6,121341.0,121341.0
2025-03-13,92.91,93.05,95.65,92.3,86311.0,86311.0
2025-03-14,92.6,96.7,98.33,91.6,99511.0,99511.0
2025-03-17,97.5,100.58,102.0,97.5,122529.0,122529.0
2025-03-18,100.64,98.0,101.49,96.86,86327.0,86327.0
2025-03-19,97.35,98.43,100.78,96.59,70158.0,70158.0
2025-03-20,98.59,96.9,101.15,96.71,65976.0,65976.0
2025-03-21,97.94,98.56,102.08,95.01,101250.0,101250.0
2025-03-24,97.03,103.52,105.0,96.95,121655.0,121655.0
2025-03-25,102.98,100.5,103.3,100.0,58717.0,58717.0
2025-03-26,101.0,97.26,103.38,96.87,71181.0,71181.0
2025-03-27,96.5,97.92,100.0,95.39,57837.0,57837.0
2025-03-28,97.84,96.86,100.58,94.88,56787.0,56787.0
2025-03-31,96.2,98.32,99.46,95.8,45997.0,45997.0
2025-04-01,99.0,98.39,100.41,96.9,44964.0,44964.0
2025-04-02,97.8,94.35,98.34,93.0,50439.0,50439.0
2025-04-03,93.41,95.84,98.78,93.28,56627.0,56627.0
2025-04-07,90.01,88.26,96.55,83.46,92448.0,92448.0
2025-04-08,89.1,90.5,92.6,89.08,70863.0,70863.0
2025-04-09,88.57,96.82,98.5,88.02,91893.0,91893.0
2025-04-10,97.51,97.3,99.6,96.2,65917.0,65917.0
2025-04-11,97.0,99.9,102.84,96.4,82900.0,82900.0
2025-04-14,100.98,97.8,101.37,97.52,54022.0,54022.0
2025-04-15,97.33,95.28,98.16,93.63,42286.0,42286.0
2025-04-16,94.28,95.23,96.36,93.8,31526.0,31526.0
2025-04-17,94.06,94.67,96.68,94.06,31113.0,31113.0
2025-04-18,94.56,92.6,94.79,92.28,25890.0,25890.0
2025-04-21,92.7,94.19,95.0,92.7,21409.0,21409.0
2025-04-22,93.83,95.46,96.77,93.01,35132.0,35132.0
2025-04-23,94.95,94.0,96.46,93.76,29762.0,29762.0
2025-04-24,94.07,92.07,94.16,92.07,24430.0,24430.0
2025-04-25,92.3,95.4,97.0,87.85,76502.0,76502.0
2025-04-28,97.0,99.7,102.1,96.6,100045.0,100045.0
2025-04-29,97.0,98.4,101.0,96.5,50815.0,50815.0
2025-04-30,98.4,95.29,99.8,95.0,50187.0,50187.0
2025-05-06,95.99,100.1,100.33,94.0,61898.0,61898.0
2025-05-07,100.8,99.8,102.83,98.01,51454.0,51454.0
2025-05-08,99.0,97.59,99.49,97.47,34082.0,34082.0
