date,open,close,high,low,volume,volume.1
2025-01-02,3.65,3.7,3.84,3.59,608703.0,608703.0
2025-01-03,3.72,3.49,3.74,3.49,448786.0,448786.0
2025-01-06,3.5,3.55,3.63,3.41,414439.0,414439.0
2025-01-07,3.63,3.62,3.68,3.48,367637.0,367637.0
2025-01-08,3.57,3.52,3.63,3.47,407984.0,407984.0
2025-01-09,3.48,3.49,3.56,3.42,300572.0,300572.0
2025-01-10,3.48,3.33,3.51,3.33,324065.0,324065.0
2025-01-13,3.26,3.42,3.44,3.22,353600.0,353600.0
2025-01-14,3.46,3.57,3.58,3.42,328510.0,328510.0
2025-01-15,3.59,3.53,3.59,3.49,255742.0,255742.0
2025-01-16,3.56,3.58,3.64,3.52,263332.0,263332.0
2025-01-17,3.6,3.53,3.6,3.48,204438.0,204438.0
2025-01-20,3.53,3.58,3.62,3.46,264058.0,264058.0
2025-01-21,3.63,3.52,3.63,3.48,209853.0,209853.0
2025-01-22,3.5,3.47,3.51,3.43,142759.0,142759.0
2025-01-23,3.51,3.46,3.64,3.45,258910.0,258910.0
2025-01-24,3.46,3.53,3.57,3.4,248406.0,248406.0
2025-01-27,3.59,3.52,3.59,3.49,166147.0,166147.0
2025-02-05,3.55,3.63,3.66,3.53,233667.0,233667.0
2025-02-06,3.68,3.64,3.68,3.53,265231.0,265231.0
2025-02-07,3.65,3.74,3.78,3.63,305703.0,305703.0
2025-02-10,3.76,3.93,3.94,3.74,362097.0,362097.0
2025-02-11,3.92,3.88,3.95,3.82,324986.0,324986.0
2025-02-12,3.87,3.86,3.89,3.81,238258.0,238258.0
2025-02-13,3.85,3.83,3.9,3.8,217533.0,217533.0
2025-02-14,3.83,3.87,3.99,3.81,310083.0,310083.0
2025-02-17,3.9,3.98,4.03,3.87,312212.0,312212.0
2025-02-18,3.99,3.79,3.99,3.78,268280.0,268280.0
2025-02-19,3.78,3.82,3.83,3.76,181814.0,181814.0
2025-02-20,3.8,3.86,3.91,3.8,193712.0,193712.0
2025-02-21,3.87,3.79,3.9,3.71,253173.0,253173.0
2025-02-24,3.8,3.81,3.88,3.73,232715.0,232715.0
2025-02-25,3.79,3.78,3.85,3.73,169736.0,169736.0
2025-02-26,3.77,3.82,3.86,3.77,176125.0,176125.0
2025-02-27,3.82,3.8,3.87,3.73,183134.0,183134.0
2025-02-28,3.78,3.69,3.8,3.68,217971.0,217971.0
2025-03-03,3.68,3.7,3.79,3.67,175813.0,175813.0
2025-03-04,3.7,3.76,3.78,3.64,170241.0,170241.0
2025-03-05,3.78,3.7,3.78,3.64,176034.0,176034.0
2025-03-06,3.71,3.75,3.79,3.7,180487.0,180487.0
2025-03-07,3.74,3.67,3.8,3.66,187950.0,187950.0
2025-03-10,3.69,3.72,3.77,3.68,161480.0,161480.0
2025-03-11,3.69,3.69,3.71,3.64,148449.0,148449.0
2025-03-12,3.71,3.66,3.73,3.66,150289.0,150289.0
2025-03-13,3.67,3.6,3.67,3.54,212809.0,212809.0
2025-03-14,3.6,3.78,3.79,3.58,336671.0,336671.0
2025-03-17,3.8,3.76,3.83,3.74,163135.0,163135.0
2025-03-18,3.8,3.78,3.89,3.75,271207.0,271207.0
2025-03-19,3.76,3.76,3.83,3.73,161138.0,161138.0
2025-03-20,3.78,3.78,3.8,3.73,147660.0,147660.0
