date,open,close,high,low,volume,volume.1
2025-01-02,6.28,6.02,6.32,5.98,430140.0,430140.0
2025-01-03,6.05,5.94,6.08,5.91,296588.0,296588.0
2025-01-06,5.95,5.83,5.95,5.76,292859.0,292859.0
2025-01-07,5.85,5.75,5.85,5.71,288298.0,288298.0
2025-01-08,5.75,5.77,5.8,5.64,287772.0,287772.0
2025-01-09,5.77,5.68,5.78,5.68,207909.0,207909.0
2025-01-10,5.71,5.6,5.72,5.6,225640.0,225640.0
2025-01-13,5.59,5.69,5.69,5.52,267702.0,267702.0
2025-01-14,5.66,5.77,5.8,5.65,248010.0,248010.0
2025-01-15,5.78,5.73,5.81,5.72,220424.0,220424.0
2025-01-16,5.75,5.76,5.85,5.72,231796.0,231796.0
2025-01-17,5.76,5.78,5.85,5.71,234582.0,234582.0
2025-01-20,5.81,5.76,5.87,5.75,217440.0,217440.0
2025-01-21,5.82,5.7,5.83,5.7,171435.0,171435.0
2025-01-22,5.74,5.69,5.74,5.63,171837.0,171837.0
2025-01-23,5.74,5.76,5.87,5.73,258835.0,258835.0
2025-01-24,5.75,5.84,5.98,5.73,280264.0,280264.0
2025-01-27,5.88,5.81,5.92,5.81,198488.0,198488.0
2025-02-05,5.84,5.7,5.84,5.67,317425.0,317425.0
2025-02-06,5.69,5.76,5.78,5.64,300244.0,300244.0
2025-02-07,5.77,5.8,5.88,5.74,319490.0,319490.0
2025-02-10,5.81,5.83,5.87,5.8,275381.0,275381.0
2025-02-11,5.85,5.76,5.86,5.75,233177.0,233177.0
2025-02-12,5.78,5.75,5.8,5.71,226074.0,226074.0
2025-02-13,5.75,5.69,5.79,5.69,220219.0,220219.0
2025-02-14,5.71,5.69,5.72,5.65,229938.0,229938.0
2025-02-17,5.7,5.69,5.73,5.65,242894.0,242894.0
2025-02-18,5.69,5.63,5.75,5.61,291578.0,291578.0
2025-02-19,5.61,5.71,5.74,5.61,279399.0,279399.0
2025-02-20,5.7,5.63,5.72,5.6,284359.0,284359.0
2025-02-21,5.64,5.69,5.72,5.56,412266.0,412266.0
2025-02-24,5.71,5.83,5.86,5.7,496150.0,496150.0
2025-02-25,5.81,5.76,5.84,5.74,315712.0,315712.0
2025-02-26,5.76,5.81,5.83,5.76,331554.0,331554.0
2025-02-27,5.8,5.78,5.81,5.7,333186.0,333186.0
2025-02-28,5.79,5.78,5.88,5.77,503382.0,503382.0
2025-03-03,5.8,5.93,6.04,5.8,608020.0,608020.0
2025-03-04,5.91,5.93,6.05,5.89,378178.0,378178.0
2025-03-05,5.97,5.94,5.98,5.89,310187.0,310187.0
2025-03-06,5.95,5.81,6.0,5.81,625935.0,625935.0
2025-03-07,5.82,5.73,5.87,5.71,555789.0,555789.0
2025-03-10,5.73,5.72,5.76,5.68,296781.0,296781.0
2025-03-11,5.68,5.71,5.74,5.65,284805.0,284805.0
2025-03-12,5.73,5.7,5.75,5.7,230983.0,230983.0
2025-03-13,5.7,5.6,5.71,5.57,437592.0,437592.0
2025-03-14,5.61,5.69,5.7,5.59,335449.0,335449.0
2025-03-17,5.7,5.71,5.74,5.69,235413.0,235413.0
2025-03-18,5.73,5.71,5.73,5.69,223256.0,223256.0
2025-03-19,5.7,5.67,5.71,5.66,198460.0,198460.0
2025-03-20,5.68,5.67,5.71,5.65,225868.0,225868.0
2025-03-21,5.66,5.61,5.74,5.61,365166.0,365166.0
2025-03-24,5.61,5.61,5.64,5.57,267296.0,267296.0
2025-03-25,5.6,5.74,5.75,5.58,341433.0,341433.0
2025-03-26,5.71,5.73,5.76,5.7,207882.0,207882.0
2025-03-27,5.73,5.75,5.77,5.68,220444.0,220444.0
2025-03-28,5.76,5.76,5.78,5.72,245687.0,245687.0
2025-03-31,5.76,5.63,5.82,5.61,347776.0,347776.0
2025-04-01,5.64,5.58,5.68,5.55,461656.0,461656.0
2025-04-02,5.59,5.53,5.59,5.51,264314.0,264314.0
2025-04-03,5.52,5.57,5.62,5.5,295519.0,295519.0
2025-04-07,5.41,4.98,5.45,4.85,654124.0,654124.0
2025-04-08,5.07,5.38,5.48,5.07,867335.0,867335.0
2025-04-09,5.35,5.44,5.48,5.24,579109.0,579109.0
