date,open,close,high,low,volume,volume.1
2025-01-02,19.3,19.0,19.49,18.88,17754.0,17754.0
2025-01-03,19.14,19.02,19.29,18.85,16785.0,16785.0
2025-01-06,19.08,18.68,19.28,18.6,17739.0,17739.0
2025-01-07,18.65,18.65,18.75,18.43,12801.0,12801.0
2025-01-08,18.58,18.38,18.73,18.03,17029.0,17029.0
2025-01-09,18.4,18.24,18.68,18.23,12049.0,12049.0
2025-01-10,18.27,17.86,18.47,17.82,15687.0,15687.0
2025-01-13,17.76,18.56,18.6,17.7,17546.0,17546.0
2025-01-14,18.56,18.99,19.09,18.45,18419.0,18419.0
2025-01-15,18.88,18.79,18.97,18.65,10613.0,10613.0
2025-01-16,18.85,18.78,19.15,18.64,12617.0,12617.0
2025-01-17,18.78,18.8,18.97,18.55,10402.0,10402.0
2025-01-20,18.78,18.76,19.18,18.71,14973.0,14973.0
2025-01-21,18.85,18.57,18.94,18.4,10139.0,10139.0
2025-01-22,18.49,18.24,18.54,17.96,14307.0,14307.0
2025-01-23,18.4,18.36,18.86,18.19,14341.0,14341.0
2025-01-24,18.39,18.62,18.73,18.22,13547.0,13547.0
2025-01-27,18.71,18.63,18.93,18.53,10890.0,10890.0
2025-02-05,18.82,19.03,19.3,18.71,14950.0,14950.0
2025-02-06,19.05,19.3,19.35,18.79,11500.0,11500.0
2025-02-07,19.3,19.52,19.79,19.25,15888.0,15888.0
2025-02-10,19.72,19.94,20.23,19.5,18776.0,18776.0
2025-02-11,20.5,19.8,20.5,19.56,19488.0,19488.0
2025-02-12,19.79,20.01,20.05,19.65,12997.0,12997.0
2025-02-13,20.0,19.85,20.08,19.77,11672.0,11672.0
2025-02-14,19.84,20.32,20.55,19.82,17977.0,17977.0
2025-02-17,20.48,20.16,20.74,20.13,17697.0,17697.0
2025-02-18,20.17,20.04,20.45,19.86,13424.0,13424.0
2025-02-19,19.97,20.12,20.32,19.76,12185.0,12185.0
2025-02-20,20.19,20.23,20.57,20.07,15186.0,15186.0
2025-02-21,20.3,20.87,20.95,20.14,25287.0,25287.0
2025-02-24,20.85,20.49,20.86,20.37,18435.0,18435.0
2025-02-25,20.38,20.65,20.87,20.29,19991.0,19991.0
2025-02-26,20.6,21.61,21.71,20.6,25726.0,25726.0
2025-02-27,21.48,21.99,22.05,21.4,28129.0,28129.0
2025-02-28,22.0,21.2,22.15,21.1,25217.0,25217.0
2025-03-03,21.2,21.35,21.74,21.08,20997.0,20997.0
2025-03-04,21.4,21.15,21.55,21.06,16790.0,16790.0
2025-03-05,21.15,20.7,21.15,20.56,19277.0,19277.0
2025-03-06,20.79,21.05,21.17,20.49,20445.0,20445.0
2025-03-07,21.05,20.7,21.14,20.61,16638.0,16638.0
2025-03-10,20.7,20.41,21.07,20.35,17240.0,17240.0
2025-03-11,20.34,20.19,20.44,20.06,13130.0,13130.0
2025-03-12,20.2,19.84,20.37,19.78,21698.0,21698.0
2025-03-13,19.88,19.63,19.9,19.47,14505.0,14505.0
2025-03-14,19.63,20.03,20.04,19.55,17943.0,17943.0
2025-03-17,20.24,20.07,20.24,19.82,12392.0,12392.0
2025-03-18,20.17,20.29,20.47,20.01,14770.0,14770.0
2025-03-19,20.27,20.36,20.61,20.05,14076.0,14076.0
2025-03-20,20.35,20.23,20.45,20.12,9908.0,9908.0
2025-03-21,20.23,19.69,20.39,19.64,14792.0,14792.0
2025-03-24,19.85,19.43,19.9,19.29,14061.0,14061.0
2025-03-25,19.57,19.35,19.57,19.08,11301.0,11301.0
2025-03-26,19.31,19.5,19.63,19.29,9699.0,9699.0
2025-03-27,19.35,20.15,20.24,19.16,16023.0,16023.0
2025-03-28,20.13,20.44,20.98,20.06,27443.0,27443.0
2025-03-31,20.42,20.02,20.67,19.64,22968.0,22968.0
2025-04-01,20.25,22.04,23.28,20.2,54683.0,54683.0
2025-04-02,22.04,22.9,23.87,22.04,65941.0,65941.0
2025-04-03,22.79,22.66,23.39,22.33,42241.0,42241.0
2025-04-07,21.49,19.68,22.48,19.1,56576.0,56576.0
2025-04-08,19.6,20.2,20.85,19.6,46951.0,46951.0
2025-04-09,19.57,20.02,20.17,18.92,44338.0,44338.0
2025-04-10,20.21,21.23,21.7,20.21,48173.0,48173.0
2025-04-11,20.97,22.68,23.66,20.93,66222.0,66222.0
2025-04-14,23.03,22.92,23.57,22.41,43309.0,43309.0
2025-04-15,22.87,23.0,23.98,22.56,33280.0,33280.0
2025-04-16,22.72,22.06,22.94,21.73,31587.0,31587.0
2025-04-17,21.86,21.74,22.28,21.59,28927.0,28927.0
2025-04-18,21.89,21.11,21.92,20.83,26825.0,26825.0
2025-04-21,20.98,22.08,22.08,20.67,28167.0,28167.0
2025-04-22,22.01,22.55,22.85,21.7,36112.0,36112.0
2025-04-23,22.63,22.06,22.97,21.97,27737.0,27737.0
2025-04-24,21.51,21.72,22.49,21.07,40759.0,40759.0
2025-04-25,21.78,21.43,21.89,20.9,26958.0,26958.0
2025-04-28,21.32,21.52,21.75,20.8,23574.0,23574.0
2025-04-29,21.61,22.32,22.58,21.6,29120.0,29120.0
2025-04-30,22.24,22.3,22.74,22.24,15868.0,15868.0
2025-05-06,22.5,22.58,22.84,22.17,21438.0,21438.0
2025-05-07,22.79,22.21,23.11,22.17,23577.0,23577.0
2025-05-08,22.1,22.18,22.52,22.1,16920.0,16920.0
2025-05-09,22.34,21.92,22.45,21.92,14569.0,14569.0
2025-05-12,21.92,21.37,21.98,21.2,31184.0,31184.0
2025-05-13,21.59,21.48,21.76,21.42,16925.0,16925.0
2025-05-14,21.5,21.5,21.75,21.22,16064.0,16064.0
2025-05-15,21.5,21.69,21.83,21.39,13474.0,13474.0
2025-05-16,21.79,22.71,22.85,21.54,31391.0,31391.0
2025-05-19,22.71,22.72,22.86,22.18,18992.0,18992.0
2025-05-20,22.88,23.53,23.7,22.88,35279.0,35279.0
2025-05-21,23.74,23.56,24.49,23.5,42990.0,42990.0
2025-05-22,23.55,23.84,24.21,23.3,31075.0,31075.0
2025-05-23,23.41,23.35,23.95,23.16,34816.0,34816.0
2025-05-26,24.3,24.3,24.7,22.91,47060.0,47060.0
2025-05-27,24.0,25.36,26.38,24.0,53640.0,53640.0
2025-05-28,25.36,25.15,25.87,24.89,32186.0,32186.0
2025-05-29,25.2,26.3,26.3,24.89,44491.0,44491.0
2025-05-30,26.5,26.32,27.23,25.93,44719.0,44719.0
2025-06-03,26.16,26.12,26.88,25.5,54535.0,54535.0
2025-06-04,25.99,26.85,27.24,25.5,47853.0,47853.0
2025-06-05,27.0,26.6,27.52,26.0,36663.0,36663.0
2025-06-06,26.4,26.52,26.87,25.9,37877.0,37877.0
2025-06-09,26.47,27.39,28.4,26.25,61524.0,61524.0
2025-06-10,27.46,28.58,29.32,27.1,58037.0,58037.0
2025-06-11,28.27,27.05,28.46,27.05,58755.0,58755.0
2025-06-12,27.07,27.47,27.6,26.78,43843.0,43843.0
2025-06-13,27.48,26.23,27.6,25.78,69491.0,69491.0
2025-06-16,26.2,26.03,26.73,25.8,41249.0,41249.0
2025-06-17,26.3,24.9,26.35,24.51,61133.0,61133.0
2025-06-18,24.69,25.28,25.44,24.6,31355.0,31355.0
2025-06-19,25.1,24.91,25.73,24.68,23968.0,23968.0
2025-06-20,24.91,24.52,25.21,24.48,19306.0,19306.0
2025-06-23,24.45,24.77,25.1,24.16,28732.0,28732.0
2025-06-24,25.02,25.01,25.59,24.83,27521.0,27521.0
2025-06-25,26.26,25.3,26.62,25.15,49404.0,49404.0
2025-06-26,25.01,24.63,25.14,23.96,38141.0,38141.0
2025-06-27,24.63,24.92,25.58,24.46,26657.0,26657.0
2025-06-30,25.0,25.06,25.15,24.5,21636.0,21636.0
2025-07-01,25.25,26.09,26.22,25.14,40519.0,40519.0
2025-07-02,26.09,25.56,26.24,25.44,26139.0,26139.0
2025-07-03,25.6,26.86,27.26,25.37,51347.0,51347.0
2025-07-04,26.75,27.11,27.58,26.38,41887.0,41887.0
2025-07-07,27.31,26.46,27.57,26.33,34196.0,34196.0
2025-07-08,26.54,26.19,26.99,26.16,31675.0,31675.0
2025-07-09,26.19,25.96,26.36,25.66,25804.0,25804.0
2025-07-10,26.13,26.03,26.59,25.88,23543.0,23543.0
2025-07-11,26.16,26.45,26.8,26.05,33619.0,33619.0
2025-07-14,26.37,26.9,27.15,26.18,34846.0,34846.0
2025-07-15,26.88,26.88,27.1,26.21,33254.0,33254.0
2025-07-16,26.88,26.88,26.98,26.42,24869.0,24869.0
2025-07-17,26.91,29.58,29.68,26.91,85032.0,85032.0
2025-07-18,29.5,29.88,30.0,28.63,66870.0,66870.0
2025-07-21,29.73,29.2,29.8,28.9,52415.0,52415.0
2025-07-22,29.12,30.45,33.08,29.08,100161.0,100161.0
2025-07-23,30.18,29.61,30.68,29.4,71841.0,71841.0
2025-07-24,29.66,29.78,30.25,29.28,49746.0,49746.0
2025-07-25,29.9,29.37,30.2,29.05,42681.0,42681.0
2025-07-28,29.66,29.94,30.31,29.45,51294.0,51294.0
2025-07-29,30.0,30.68,31.09,29.38,58055.0,58055.0
2025-07-30,30.37,31.07,32.22,30.21,86315.0,86315.0
2025-07-31,31.19,30.69,31.65,30.5,67619.0,67619.0
