date,open,close,high,low,volume,volume.1
2025-09-01,16.0,16.12,16.21,15.92,84475.0,84475.0
2025-09-02,16.13,15.65,16.15,15.56,96273.0,96273.0
2025-09-03,15.58,15.09,15.64,14.95,91014.0,91014.0
2025-09-04,15.01,15.3,15.54,15.01,84934.0,84934.0
2025-09-05,15.35,15.45,15.45,15.04,61553.0,61553.0
2025-09-08,15.45,15.6,15.62,15.4,67388.0,67388.0
2025-09-09,15.6,15.78,15.91,15.39,87816.0,87816.0
2025-09-10,15.9,15.47,15.9,15.46,64853.0,64853.0
2025-09-11,14.98,15.88,15.9,14.91,113332.0,113332.0
2025-09-12,15.98,16.58,16.98,15.88,219935.0,219935.0
2025-09-15,16.73,16.78,17.07,16.71,154737.0,154737.0
2025-09-16,16.88,17.26,17.42,16.63,158197.0,158197.0
2025-09-17,17.26,17.07,17.49,17.01,112145.0,112145.0
2025-09-18,17.04,16.85,17.33,16.8,108004.0,108004.0
2025-09-19,16.99,17.19,17.45,16.86,98901.0,98901.0
2025-09-22,17.27,16.86,17.3,16.77,71761.0,71761.0
2025-09-23,16.9,16.92,16.95,16.32,77410.0,77410.0
2025-09-24,16.8,16.9,17.15,16.6,60988.0,60988.0
2025-09-25,17.1,17.14,17.4,16.92,93417.0,93417.0
2025-09-26,17.06,17.06,17.54,16.92,95496.0,95496.0
2025-09-29,16.99,17.19,17.35,16.6,73076.0,73076.0
2025-09-30,17.29,17.43,17.65,17.15,99438.0,99438.0
2025-10-09,17.42,17.58,18.13,17.4,133192.0,133192.0
2025-10-10,17.59,18.1,18.15,17.38,155197.0,155197.0
2025-10-13,17.1,19.91,19.91,17.1,308212.0,308212.0
2025-10-14,20.24,19.94,20.93,19.56,342168.0,342168.0
2025-10-15,20.27,20.38,20.43,19.63,175460.0,
2025-10-16,20.28,20.21,20.91,19.98,180961.0,
2025-10-17,20.29,20.73,20.89,20.01,218752.0,
2025-10-20,20.6,21.66,21.88,19.54,304950.0,
2025-10-21,21.22,21.35,22.11,20.84,260188.0,
2025-10-22,21.0,20.26,21.43,19.85,309370.0,
2025-10-23,20.06,20.14,20.28,19.21,178544.0,
2025-10-24,20.14,20.36,20.48,19.67,134735.0,
2025-10-27,20.23,20.67,20.99,20.19,156783.0,
2025-10-28,20.6,20.97,21.24,20.6,132286.0,
2025-10-29,20.93,23.07,23.07,20.9,206873.0,
2025-10-30,23.1,20.76,23.38,20.76,334160.0,
2025-10-31,20.62,19.57,20.62,19.09,197371.0,
2025-11-03,19.79,20.63,21.13,19.61,182229.0,
2025-11-04,20.63,20.02,20.78,19.91,124103.0,
2025-11-05,19.67,20.24,20.59,19.63,91306.0,
2025-11-06,20.25,20.23,20.42,20.0,68788.0,
2025-11-07,20.24,21.14,21.63,20.14,160913.0,
2025-11-10,21.36,21.57,21.76,20.9,118971.0,
2025-11-11,21.38,21.14,22.15,21.1,108508.0,
2025-11-12,21.09,20.16,21.1,19.8,127186.0,
2025-11-13,20.15,19.93,20.16,19.65,91806.0,
2025-11-14,19.9,19.31,19.9,19.3,72914.0,
2025-11-17,19.39,19.17,19.54,19.0,51592.0,
2025-11-18,19.09,18.85,19.15,18.72,52383.0,
2025-11-19,19.0,18.17,19.05,17.95,82557.0,
2025-11-20,18.2,18.18,18.35,17.7,62647.0,
2025-11-21,18.16,17.05,18.16,17.03,77249.0,
2025-11-24,17.25,17.53,17.65,17.01,52555.0,
2025-11-25,17.6,17.74,18.06,17.6,45676.0,
2025-11-26,17.88,17.58,17.95,17.46,42550.0,
2025-11-27,17.58,17.81,18.07,17.51,43038.0,
2025-11-28,17.87,17.95,17.99,17.55,36289.0,
2025-12-01,18.08,17.61,18.1,17.51,49471.0,
2025-12-02,17.66,17.49,17.86,17.31,41324.0,
2025-12-03,17.49,17.31,17.76,17.25,32312.0,
2025-12-04,17.37,17.4,17.51,17.08,31168.0,
2025-12-05,17.5,17.39,17.5,17.23,25522.0,
2025-12-08,17.39,17.48,17.73,17.39,37827.0,
2025-12-09,17.45,17.14,17.5,17.06,65193.0,
2025-12-10,17.2,17.15,17.45,17.04,38035.0,
2025-12-11,17.15,16.54,17.21,16.48,72958.0,
2025-12-12,16.54,16.58,16.74,16.45,46593.0,
2025-12-15,16.53,16.11,16.57,16.09,57804.0,
2025-12-16,15.95,15.84,16.25,15.81,47397.0,
2025-12-17,15.82,15.95,16.05,15.58,42285.0,
2025-12-18,15.95,15.85,16.36,15.8,44878.0,
2025-12-19,15.89,16.0,16.06,15.85,25941.0,
2025-12-22,16.07,15.97,16.13,15.91,34254.0,
2025-12-23,15.91,15.89,16.05,15.75,41245.0,
2025-12-24,15.87,15.99,16.1,15.81,29545.0,
2025-12-25,16.09,16.03,16.09,15.83,35718.0,
2025-12-26,16.03,15.82,16.06,15.76,40372.0,
2025-12-29,15.9,16.59,17.35,15.73,156278.0,
2025-12-30,16.51,16.27,16.88,16.2,142119.0,
2025-12-31,16.5,16.1,16.5,16.01,53740.0,
2026-01-05,16.15,16.65,16.97,16.15,95109.0,
2026-01-06,16.65,16.73,16.98,16.55,56972.0,
2026-01-07,16.87,16.69,16.87,16.61,23629.0,
2026-01-08,16.62,16.86,17.0,16.53,48070.0,
2026-01-09,16.86,16.89,16.9,16.8,12060.0,
2026-01-12,17.11,17.31,17.46,17.05,22089.0,
2026-01-13,17.48,17.2,17.48,17.09,23233.0,
2026-01-14,17.08,17.39,17.74,17.03,89536.0,
2026-01-15,17.6,17.78,18.28,17.45,79245.0,
2026-01-16,17.88,18.85,19.19,17.77,88410.0,
2026-01-19,18.9,18.61,19.4,18.1,265033.0,
2026-01-20,18.4,17.84,18.4,17.54,122238.0,
2026-01-21,17.82,17.28,17.96,17.2,108472.0,
2026-01-22,17.26,17.72,17.88,17.03,94257.0,
2026-01-23,17.73,17.87,17.9,17.5,78203.0,
