date,open,close,high,low,volume,volume.1
2025-01-02,13.34,12.94,13.47,12.83,26142.0,26142.0
2025-01-03,13.02,12.53,13.12,12.51,24399.0,24399.0
2025-01-06,12.52,12.56,12.69,12.18,16950.0,16950.0
2025-01-07,12.61,12.77,12.77,12.45,23652.0,23652.0
2025-01-08,12.74,12.65,12.79,12.35,19812.0,19812.0
2025-01-09,12.55,12.65,12.76,12.51,12695.0,12695.0
2025-01-10,12.65,12.57,13.2,12.56,37624.0,37624.0
2025-01-13,12.31,12.51,12.64,12.21,16989.0,16989.0
2025-01-14,12.51,13.05,13.06,12.51,23148.0,23148.0
2025-01-15,13.1,13.95,14.62,13.06,96747.0,96747.0
2025-01-16,13.89,13.99,14.08,13.71,62145.0,62145.0
2025-01-17,14.0,13.96,14.06,13.7,33420.0,33420.0
2025-01-20,14.02,14.18,14.2,13.8,32119.0,32119.0
2025-01-21,14.12,14.0,14.18,13.92,20726.0,20726.0
2025-01-22,13.84,13.79,14.0,13.7,18614.0,18614.0
2025-01-23,13.83,13.8,14.13,13.73,32283.0,32283.0
2025-01-24,13.92,13.95,14.05,13.65,45584.0,45584.0
2025-01-27,14.0,13.83,14.16,13.83,28352.0,28352.0
2025-02-05,13.98,14.04,14.05,13.88,22526.0,22526.0
2025-02-06,14.0,14.26,14.3,13.96,28325.0,28325.0
2025-02-07,14.24,14.31,14.54,14.14,40977.0,40977.0
2025-02-10,14.34,14.31,14.46,14.25,25245.0,25245.0
2025-02-11,14.33,14.15,14.38,14.06,22670.0,22670.0
2025-02-12,14.05,14.2,14.3,14.05,20556.0,20556.0
2025-02-13,14.21,13.96,14.29,13.94,27539.0,27539.0
2025-02-14,14.03,13.83,14.08,13.73,33999.0,33999.0
2025-02-17,13.79,14.0,14.03,13.74,29241.0,29241.0
2025-02-18,13.97,13.79,14.18,13.74,31275.0,31275.0
2025-02-19,13.79,14.29,14.29,13.74,42178.0,42178.0
2025-02-20,14.35,14.46,14.47,14.28,38685.0,38685.0
2025-02-21,14.46,14.76,14.85,14.36,61285.0,61285.0
2025-02-24,14.97,15.0,15.59,14.87,75588.0,75588.0
2025-02-25,14.8,14.84,15.07,14.68,43475.0,43475.0
2025-02-26,14.85,14.94,15.02,14.79,39898.0,39898.0
2025-02-27,14.92,14.72,14.96,14.52,32427.0,32427.0
2025-02-28,14.68,14.26,14.72,14.24,32788.0,32788.0
2025-03-03,14.3,14.45,14.72,14.29,27179.0,27179.0
2025-03-04,14.4,14.64,14.66,14.37,25087.0,25087.0
2025-03-05,14.7,14.68,14.7,14.43,20135.0,20135.0
2025-03-06,14.67,14.73,14.83,14.67,21951.0,21951.0
2025-03-07,14.69,14.76,14.86,14.64,21928.0,21928.0
2025-03-10,14.76,14.7,14.86,14.61,20791.0,20791.0
2025-03-11,14.65,14.7,14.7,14.51,20887.0,20887.0
2025-03-12,14.71,14.63,14.79,14.47,37851.0,37851.0
2025-03-13,14.56,14.38,14.57,14.2,27909.0,27909.0
2025-03-14,14.4,14.56,14.59,14.3,26287.0,26287.0
2025-03-17,14.55,14.6,14.61,14.46,21268.0,21268.0
2025-03-18,14.6,14.85,14.87,14.57,30122.0,30122.0
2025-03-19,14.8,15.1,15.23,14.74,51825.0,51825.0
2025-03-20,15.1,15.54,15.87,15.04,97807.0,97807.0
2025-03-21,15.4,14.99,15.58,14.92,60944.0,60944.0
2025-03-24,14.91,14.51,15.0,14.21,47836.0,47836.0
2025-03-25,14.49,14.53,14.76,14.36,32035.0,32035.0
2025-03-26,14.42,14.78,14.88,14.42,26951.0,26951.0
2025-03-27,14.7,14.59,14.83,14.42,25140.0,25140.0
2025-03-28,14.58,14.36,14.67,14.35,23398.0,23398.0
2025-03-31,14.33,14.15,14.36,13.98,28842.0,28842.0
2025-04-01,14.29,14.44,14.72,14.29,31335.0,31335.0
2025-04-02,14.38,14.72,14.84,14.33,31042.0,31042.0
2025-04-03,14.46,14.6,14.79,14.38,37218.0,37218.0
2025-04-07,13.81,11.68,13.81,11.68,81417.0,81417.0
2025-04-08,11.68,12.2,12.41,11.61,69587.0,69587.0
2025-04-09,12.0,12.3,12.38,11.19,53845.0,53845.0
2025-04-10,12.8,12.65,13.08,12.56,49750.0,49750.0
2025-04-11,12.57,12.52,12.75,12.5,27168.0,27168.0
2025-04-14,12.61,12.75,12.88,12.61,29714.0,29714.0
2025-04-15,12.57,12.7,12.8,12.57,20533.0,20533.0
2025-04-16,12.6,12.42,12.74,12.23,23731.0,23731.0
2025-04-17,12.38,12.53,12.61,12.37,14332.0,14332.0
